iter	Passed	Remaining
0	191	95660
1	224	55954
2	254	42242
3	281	34908
4	309	30603
5	339	27938
6	371	26138
7	403	24785
8	440	24035
9	476	23336
10	512	22778
11	550	22371
12	589	22072
13	631	21937
14	666	21540
15	701	21209
16	738	20980
17	773	20711
18	808	20468
19	845	20284
20	883	20151
21	919	19979
22	950	19717
23	987	19577
24	1031	19598
25	1084	19778
26	1135	19888
27	1185	19979
28	1245	20228
29	1284	20123
30	1320	19981
31	1356	19834
32	1397	19779
33	1431	19613
34	1462	19434
35	1493	19243
36	1521	19043
37	1554	18900
38	1586	18751
39	1613	18551
40	1643	18400
41	1676	18284
42	1707	18146
43	1736	18000
44	1768	17879
45	1798	17746
46	1829	17629
47	1868	17591
48	1906	17550
49	1946	17515
50	1988	17509
51	2034	17524
52	2076	17509
53	2124	17550
54	2161	17491
55	2201	17456
56	2239	17404
57	2343	17856
58	2405	17982
59	2438	17882
60	2472	17795
61	2506	17709
62	2538	17611
63	2568	17496
64	2599	17398
65	2629	17293
66	2659	17185
67	2690	17094
68	2734	17080
69	2780	17077
70	2830	17103
71	2880	17124
72	2919	17078
73	2961	17048
74	3008	17049
75	3048	17005
76	3080	16925
77	3115	16853
78	3149	16781
79	3180	16699
80	3212	16620
81	3244	16537
82	3279	16474
83	3315	16418
84	3355	16382
85	3394	16340
86	3431	16289
87	3468	16239
88	3502	16172
89	3537	16115
90	3571	16052
91	3603	15979
92	3634	15904
93	3668	15844
94	3696	15757
95	3728	15689
96	3758	15615
97	3789	15545
98	3820	15476
99	3850	15403
100	3882	15336
101	3916	15283
102	3951	15230
103	3989	15189
104	4031	15164
105	4073	15139
106	4110	15095
107	4147	15052
108	4174	14974
109	4203	14903
110	4231	14828
111	4260	14758
112	4287	14683
113	4316	14616
114	4348	14557
115	4375	14485
116	4413	14448
117	4449	14403
118	4484	14358
119	4524	14326
120	4566	14304
121	4604	14267
122	4642	14229
123	4682	14197
124	4719	14158
125	4753	14109
126	4794	14080
127	4830	14038
128	4866	13996
129	4905	13960
130	4941	13920
131	4977	13875
132	5019	13850
133	5055	13809
134	5096	13779
135	5142	13765
136	5185	13740
137	5222	13700
138	5262	13667
139	5312	13661
140	5358	13644
141	5393	13597
142	5426	13546
143	5460	13499
144	5491	13445
145	5521	13388
146	5550	13328
147	5579	13269
148	5613	13222
149	5647	13176
150	5679	13127
151	5711	13075
152	5743	13025
153	5774	12972
154	5804	12919
155	5835	12868
156	5863	12809
157	5894	12757
158	5926	12709
159	5956	12657
160	5988	12608
161	6022	12564
162	6057	12524
163	6090	12478
164	6122	12430
165	6155	12385
166	6188	12340
167	6226	12304
168	6257	12255
169	6288	12206
170	6321	12163
171	6353	12115
172	6387	12074
173	6421	12031
174	6455	11988
175	6486	11940
176	6517	11893
177	6550	11849
178	6582	11803
179	6614	11759
180	6646	11713
181	6679	11671
182	6713	11629
183	6748	11590
184	6785	11554
185	6824	11521
186	6861	11485
187	6896	11444
188	6933	11409
189	6968	11369
190	7003	11329
191	7031	11280
192	7067	11242
193	7099	11197
194	7129	11150
195	7160	11106
196	7190	11059
197	7222	11015
198	7252	10969
199	7283	10925
200	7313	10879
201	7344	10835
202	7376	10791
203	7412	10754
204	7442	10709
205	7471	10663
206	7503	10620
207	7535	10578
208	7564	10532
209	7594	10488
210	7623	10441
211	7651	10394
212	7679	10347
213	7707	10301
214	7740	10260
215	7769	10216
216	7803	10176
217	7838	10139
218	7867	10094
219	7895	10048
